Course Code,Course Title,Type of Textbook,ISBN,Title Linked to Library holdings,Author,Edition,Publisher
C4415,Certificate IV Photography & Digital Imaging,Recommended,9781138206298 9781315465326(e),"The Practical Zone System for Film and Digital Photography : Classic Tool, Universal Applications",Johnson,6th,Taylor and Francis
C5357,Diploma of Remedial Massage,Highly recommended,9781032050881 9781000655278(e),Law and Ethics in Complementary Medicine : A Handbook for Practitioners in Australia and New Zealand,"Weir, Michael",6th,Taylor and Francis
C5357,Diploma of Remedial Massage,Recommended,9781760421663,Brukner & Khan’s Clinical Sports Medicine 5e Volume 1: Injuries,Brukner & Khan,5th,McGraw-Hill Education
C5357,Diploma of Remedial Massage,Recommended,"""9780702032295 9780702032295(e)""",Evidence-Based Therapeutic Massage,"Holey, E & Cook, E",3rd,Edinburgh ; New York : Churchill Livingstone : Elsevier
C5357,Diploma of Remedial Massage,Recommended,9780729538695 9780729578691(e),Foundations of Massage,"Casanelia, L & Stelfox, D",3rd,""" Sydney : Churchill Livingstone Elsevier"""
C5357,Diploma of Remedial Massage,Recommended,9780455238760,Health Law in Australia,"Ben White, Fiona McDonald, and Lindy Willmott",3rd,Thomson Reuters (Professional) Australia Pty Limited
C5357,Diploma of Remedial Massage,Recommended,9781316092675,Health Law: Frameworks and Context,"Anne-Maree Farell, John Devereux, Isabel Karpin, Penelope Weller",2017,Cambridge University Press
C5357,Diploma of Remedial Massage,Recommended,9780323661836,Mosby's Fundamental of Therapeutic Massage,"Fritz, S & Fritz, L",7th,""" St. Louis : Elsevier """
C5357,Diploma of Remedial Massage,Recommended,9780702046537 9780702059629(e),Muscle Energy Techniques,Chaitow,4th,Elsevier Australia
C5357,Diploma of Remedial Massage,Recommended,9780702082726,Muscle Energy Techniques,Chaitow,5th,Elsevier Australia
C5357,Diploma of Remedial Massage,Recommended,9780702051111 9780702068461(e),Positional Release Techniques,Chaitow,4th,Elsevier Australia
C5357,Diploma of Remedial Massage,Recommended,9781119336563 9781119329398(e),Principles of anatomy and physiology,"Tortora, Gerard J",15th,Wiley USA
C5357,Diploma of Remedial Massage,Recommended,9780729543347,Textbook of Remedial Massage,"Grace, S & Deal, M",2nd,"""Sydney : Churchill Livingstone """
C5365,Diploma of Nursing,Recommended,9780729543590 9780729588294(e),Havard's nursing guide to drugs,Tiziani,11th,Elsevier Australia
C5365,Diploma of Nursing,Recommended,9781925058130,McKenna's Drug Handbook for Nursing and Midwifery,Lisa Mckenna and Sanja Mirkov,9th Aust/NZ,Lippincott Williams & Wilkins
C5365,Diploma of Nursing,Recommended,9780170458788 9780170461719(e),Pharmacology in Nursing,"Broyles, Reiss, Evans et al",4th AUS/NZ,Cengage Learning
C5411,Diploma of Photography and Digital Imaging,Recommended,9788862087933,"""The Pleasure of Seeing Conversations on Joel Meyerowitz's sixty years in the life of photography""","Lorenzo Braca, Joel Meyerowitz",2023,Damiani
C5423,Diploma of Interpreting (Auslan),Prescribed,9781760021719 9781760023270(e),Sign Language Interpreting : Theory and Practice,"Napier, Jemina; McKee, Rachel; Goswell, Della",3rd,Federation Press
C6157,Advanced Diploma of Dental Prosthetics,Highly recommended,9781119591627 9781119591702(e),Basic Guide to Oral Health Education and Promotion,"Chapman, A Felton,S",3rd AUS/NZ,Wliey Blackwell
C6157,Advanced Diploma of Dental Prosthetics,Highly recommended,9780813821061 9780813823713(e),Health Behavior Change in the Dental Practice,"Ramseier, C ; Jean E. Suva",1st 2010,John Wiley & Sons
C6157,Advanced Diploma of Dental Prosthetics,Highly recommended,9780323339902 9780323339919(e),McCracken's Removable Partial Prosthodontics,"Carr, Alan B.; Brown, David T.",13th,Elsevier Australia
C6157,Advanced Diploma of Dental Prosthetics,Highly recommended,9780323546355 9780323551069(e),"Mosby's Dental Dictionary,",Fehrenbach,4th 2020,Elsevier Australia
C6157,Advanced Diploma of Dental Prosthetics,Prescribed,9783132417878 9783132580725(e),Pocket atlas of oral diseases,"Laskaris, G",3rd,Thieme
C6157,Advanced Diploma of Dental Prosthetics,Prescribed,9780992527297,Therapeutic Guidelines : Oral and Dental. Version 3. Melbourne,"Therapeutic Guidelines Limited,","Version 3, 2019","Therapeutic Guidelines Limited,"
C6159,Advanced Diploma of Myotherapy,Highly recommended,9780443066443 9780702063572(e),"Acupuncture, trigger points and musculoskeletal pain",Baldry,3rd,Elsevier Australia
C6159,Advanced Diploma of Myotherapy,Highly recommended,9781760421663,Brukner & Khan's clinical sports medicine . Volume1 : injuries,Brukner & Khan,5th,McGraw-Hill Education
C6159,Advanced Diploma of Myotherapy,Highly recommended,9781760420512,"Brukner & Khan's clinical sports medicine. Volume 2, the medicine of exercise",Brukner & Khan,5th,McGraw-Hill Education
C6159,Advanced Diploma of Myotherapy,Recommended,9780323287531,Kinesiology of the musculoskeletal system : foundations for rehabilitation,"D. A. Neumann, E. R. Kelly, C. L. Kiefer, K. Martens and C. M. Grosz",3rd,Elsevier Australia
C6159,Advanced Diploma of Myotherapy,Recommended,9780702055768 9780702055775(e),Manual therapy for musculoskeletal pain syndromes : an evidence- and clinical-informed approach,"Fernández-de-las-Peñas, César et al",2016,Elsevier Australia
C6159,Advanced Diploma of Myotherapy,Recommended,9781975159894 9781975159917(e),Muscles Testing and Function with Posture and Pain,"Peterson Kendall, F., Kendall McCreary, E., Geise Provance, P., McIntyre Rodgers, M., & Romani, W.",6th,Lippincott Williams & Wilkins
C6159,Advanced Diploma of Myotherapy,Recommended,9780323522991,Orthopedic Physical Assessment,Magee,7th,Elsevier Australia
C6159,Advanced Diploma of Myotherapy,Recommended,9780998785066,"Trail guide to the body : a hands-on guide to locating muscles, bones and more",Biel,6th,Books of Discovery
CHEM1015,Environmental Chemical Issues,Prescribed,9781266222832 9781266321375(e),Chemistry: The Molecular Nature of Matter and Change,"Martin Silberberg, Patricia Amateis",10th,McGraw-Hill Education
CHEM1290,Physicochemical Principles,Highly recommended,9781451191455,Martin's physical pharmacy and pharmaceutical sciences : physical chemical and biopharmaceutical principles in the pharmaceutical sciences,"Sinko, Patrick",7th,Wolters Kluwer Health
CHEM1290,Physicochemical Principles,Highly recommended,9781975174811,Martin's physical pharmacy and pharmaceutical sciences : physical chemical and biopharmaceutical principles in the pharmaceutical sciences,"Sinko, Patrick",8th,Wolters Kluwer Health
CHEM1290,Physicochemical Principles,Prescribed,9780702070051,Aulton's Pharmaceutics: Aulton's Pharmaceutics,"Taylor, Kevin M. G; Aulton, Michael E",5th,Pharmaceutical Press
CHEM1290,Physicochemical Principles,Prescribed,9780702081545,Aulton's Pharmaceutics: Aulton's Pharmaceutics,"Taylor, Kevin M. G; Aulton, Michael E",6th,Pharmaceutical Press
CHEM1290,Physicochemical Principles,Recommended,9780857113757,Handbook of Pharmaceutical Excipients,Sheskey et al,9th,Pharmaceutical Press
CHEM1290,Physicochemical Principles,Recommended,9781975128555,Stoklosa and Ansel's Pharmaceutical calculations,Ansel,16th,Lippincott Williams & Wilkins
CHEM1318,Food and Nutri Chem,Prescribed,9781482243611 9781482208139(e),"""Fennema's Food Chemistry """,Srinivasan Damodaran and Kirk L. Parkin,5th,Taylor & Francis
CIVE1108,Geotechnical Engineering 2,Prescribed,9780470556849 9781118136041(e),Soil Mechanics and Foundations,Muni Budhu,3rd,John Wiley & Sons
CIVE1151,Concrete Structures 2,Prescribed,9780655706397 9780655706403(e),Prestressed Concrete,"Warner R.F., Foster, S., Gravina, R.J. and Faulkes, K. A.",5th,Pearson Education
CIVE1152,Concrete Structures 2,Highly recommended,9780655706397 9780655706403(e),Prestressed Concrete,"Warner R.F., Foster, S., Gravina, R.J. and Faulkes, K. A.",5th,Pearson Education
CIVE1181,Water Engineering,Prescribed,9781119570813 9781119496885(e),Engineering Fluid Mechanics,"Elger, Lebret, Crowe, Roberson",12th Australia and New Zealand Edition,John Wiley & Sons
CIVE1208,Concrete Design,Prescribed,9781108405645 9781108601870(e),Reinforced and prestressed concrete : analysis and design with emphasis on application of AS3600-2009,"Yew-Chaye Loo, Sanaul H. Chowdhury",3rd,Cambridge University Press
COMM1031,Introduction to Cinema Studies,Prescribed,9781265205478 9781266507762(e),Film Art: an Introduction,"Bordwell, David; Thompson, Kristin; Smith, Jeff",13th ISE,McGraw-Hill Education
COMM2143,Comm Strategy & Planning,Prescribed,9781922585851,You talk we die: the battle for Victoria's first safe injecting facility,Judy Ryan,1st,Scribe
COMM2294,Communication Strategy and Planning,Prescribed,9781922585851,You talk we die: the battle for Victoria's first safe injecting facility,Judy Ryan,1st,Scribe
COSC1076,Advanced Programming Techniques,Highly recommended,9780321992789 9780133796742(e),Programming: Principles and Practice Using C++,Bjarne Stroustrup,2nd,Pearson Education
COSC1076,Advanced Programming Techniques,Recommended,9781292153346,C++ How to Program,Paul Deitel and Harvey Deitel,10th Global,Pearson Education
COSC2803,Programming Studio 1,Prescribed,9781492051961 9781492051916(e),Designing Interfaces : Patterns for Effective Interaction Design,Tidwell/ Brewer/Valencia,3rd,O'Reilly Media
COSC3046,Web Programming Studio,Highly recommended,9781492093824 9781492093770(e),"Learning PHP, MySQL & JavaScript : a step-by-step guide to creating dynamic websites",Robin Nixon,6th,O'Reilly Media
COSC3046,Web Programming Studio,Highly recommended,9781119149224,PHP & MySQL: Server-side Web Development,John Duckett,1,John Wiley & Sons
ECON1020,Prices and Markets,Recommended,9781292414881 9781292414898(e),Microeconomics,"Daron Acemoglu, David Laibson, John List",3rd,Pearson Education
ECON1020,Prices and Markets,Recommended,"""9780170248525 9780170270915(e)""",Principles of Microeconomics,"Gans, King, Byford and Mankiw",6th Asia Pacific,Cengage Learning
ECON1025,Prices and Markets,Recommended,9781292414881 9781292414898(e),Microeconomics,"Daron Acemoglu, David Laibson, John List",3rd,Pearson Education
ECON1025,Prices and Markets,Recommended,"""9780170248525 9780170270915(e)""",Principles of Microeconomics,"Gans, King, Byford and Mankiw",6th Asia Pacific,Cengage Learning
ECON1030,Business Statistics 1,Highly recommended,9781488617249 9781488620201(e),Basic Business Statistics: Concepts and Applications,"Mark L. Berenson, David M. Levine, Kathryn A. Szabat, Judith Watson, Nicola Jayne and Martin O’Brien",5th,Pearson Education
ECON1048,Managerial and Business Economics,Highly recommended,9781119666219 9781119672975(e),Microeconomics,David Besanko and Ronald Braeutigam,6th ANZ,John Wiley & Sons
ECON1048,Managerial and Business Economics,Recommended,9781118572276 9781118883228(e),Microeconomics,David Besanko and Ronald Braeutigam,5th,John Wiley & Sons
ECON1056,Managerial and Business Economics,Recommended,9781119554844 9781119554936(e),Microeconomics,David Besanko and Ronald Braeutigam,6th,John Wiley & Sons
ECON1064,Forecasting and Quantitative Analysis,Recommended,9780987507136,Forecasting Principles and Practice,"Rob J Hyndman, George Athanasopoulos",3rd,Otexts
ECON1066,Basic Econometrics,Highly recommended,9781488617249 9781488620201(e),Basic Business Statistics: Concepts and Applications,"Mark L. Berenson, David M. Levine, Kathryn A. Szabat, Judith Watson, Nicola Jayne and Martin O’Brien",5th Australasian and Pacific edition,Pearson Education
ECON1066,Basic Econometrics,Highly recommended,9781337558860 9781337671330(e),Introductory Econometrics,Wooldridge,7th US,Cengage Learning
ECON1066,Basic Econometrics,Recommended,9780324581621,Introductory Econometrics,Wooldridge,4th,Cengage Learning
ECON1066,Basic Econometrics,Recommended,9781111531041 9781285414645(e),Introductory Econometrics,Wooldridge,5th,Cengage Learning
ECON1086,International Trade,Recommended,9780470408797 9781118476000(e),International Trade,McLaren,2012,John Wiley & Sons
ECON1246,Macroeconomics 1,Recommended,9781488612527 9781488619892(e),Macroeconomics,Hubbard /Garnett / Lewis,4th,Pearson Education
ECON1259,Development Economics,Highly recommended,9781292291154 9781292291208(e),Economic Development,Todaro & Smith,13th,Pearson Education
ECON1259,Development Economics,Recommended,9780367456474 9781000378535(e),Development Economics : Theory and Practice,"de Janvry, Alain; Sadoulet, Elisabeth",2nd,Taylor and Francis
ECON1259,Development Economics,Recommended,9781137577948 9781137577955(e),Economics of development : theory and evidence,Thirlwall and Pacheco-López,10th,Macmillan Education
ECON1272,Basic Econometrics,Highly recommended,9781337558860 9781337671330(e),Introductory Econometrics,Wooldridge,7th US,Cengage Learning
ECON1272,Basic Econometrics,Recommended,9781488617249 9781488620201(e),Basic Business Statistics: Concepts and Applications,"Mark L. Berenson, David M. Levine, Kathryn A. Szabat, Judith Watson, Nicola Jayne and Martin O’Brien",5th,Pearson Education
ECON1272,Basic Econometrics,Recommended,9781111531041 9781285414645(e),Introductory Econometrics,Wooldridge,5th,Cengage Learning
ECON1272,Basic Econometrics,Recommended,9780324581621,Introductory Econometrics,Wooldridge,4th,Cengage Learning
ECON1273,Macroeconomics 1,Recommended,9781488612527 9781488619892(e),Macroeconomics,Hubbard /Garnett / Lewis,4th,Pearson Education
ECON1275,Prices and Markets,Recommended,9781488612497 9781488612510(e),Microeconomics,"Hubbard, Garnett, Lewis, O'Brien",4th,Pearson Education
ECON1314,Quantitative methods for economic analysis,Recommended,9781488617249 9781488620201(e),Basic Business Statistics: Concepts and Applications,"Mark Berenson, David Levine, Kathryn Szabat, Martin O'Brien, Judith Watson, Nicola Jayne",5th Australasian and Pacific edition,Pearson Education
ECON1314,Quantitative methods for economic analysis,Recommended,9780170449021 9780170294010(e),Economics for Today,Layton,7th,Cengage Learning
ECON1314,Quantitative methods for economic analysis,Recommended,9780170410830 9780170282710(e),Economics for Today,Layton,6th,Cengage Learning
ECON1340,Strategic games for business,Recommended,9780393422207,Games of Strategy,"Dixit, A.K., Skeath, S., McAdams, D.",5th,W.W Norton
ECON1348,Business Data Analytics,Highly recommended,9780730363330 9780730355434(e),Business Analytics and Statistics,"Ken Black, John Asafu-Adjaye, Paul Burke, Nelson Perera, Carl Sherwood, Saleh A. Wasimi",1st,John Wiley & Sons
ECON1555,Business Data Analytics,Highly recommended,9780730363330 9780730355434(e),Business Analytics and Statistics,"Ken Black, John Asafu-Adjaye, Paul Burke, Nelson Perera, Carl Sherwood, Saleh A. Wasimi",1st,John Wiley & Sons
ECON1575,Strategic games for business,Recommended,9780393422207,Games of Strategy,"Dixit, A.K., Skeath, S., McAdams, D.",5th,W.W Norton
ECON1586,Diverse Perspectives on the World Economy,Recommended,9781789900484 9781789900491(e),Contending Perspectives in Economics: A Guide to Contemporary Schools of Thought,Harvey,2nd,Edward Elgar
ECON1587,Diverse Perspectives on the World Economy,Recommended,9781789900484 9781789900491(e),Contending Perspectives in Economics: A Guide to Contemporary Schools of Thought,Harvey,2nd,Edward Elgar
ECON1610,Economics and Quantitative Analysis,Recommended,9781488617249 9781488620201(e),Basic Business Statistics: Concepts and Applications,"Mark Berenson, David Levine, Kathryn Szabat, Martin O'Brien, Judith Watson, Nicola Jayne",5th,Pearson Education
ECON1610,Economics and Quantitative Analysis,Recommended,9780170410830 9780170282710(e),Economics for Today,Layton,6th Asia-Pacific,Cengage Learning
EEET1074,Antennas,Prescribed,9781118642061 9781119178989(e),Antenna theory analysis and design,"Balanis, Constantine A.",4th,John Wiley & Sons
EEET1131,Antennas for Mobile and Satellite Communications PG,Prescribed,9781118642061 9781119178989(e),Antenna theory analysis and design,"Balanis, Constantine A.",4th,John Wiley & Sons
EEET2250,Software Engineering Design,Prescribed,9780072232158 9780071811729(e),C++ A Beginner's Guide,"Herbert Schildt,",2nd,McGraw-Hill Education
EEET2270,RF and Microwave Circuit Design,Prescribed,9781119114635 9781119332237(e),RF and microwave circuit design : theory and applications,Charles E. Free and Colin S. Aitchison,2022,"Hoboken, New Jersey : John Wiley & Sons, Inc."
EEET2309,RF and Microwave Circuit Design,Prescribed,9781119114635 9781119332237(e),RF and microwave circuit design : theory and applications,Charles E. Free and Colin S. Aitchison,2022,"Hoboken, New Jersey : John Wiley & Sons, Inc."
EEET2321,Transmission Media,Prescribed,9781305958531 9781337028554(e),Guide to Wireless Communications,Jorge L Onelawa,4th,Cengage Learning
EEET2380,Advanced Power Systems,Prescribed,9780357676196 9780357676387(e),Power System Analysis and Design,J. Duncan Glover/Thomas Overbye/Mulukutla S. Sarma,7th SI,Cengage Learning
EEET2380,Advanced Power Systems,Prescribed,9781305636187 9781305887732(e),Power System Analysis and Design,J. Duncan Glover/Thomas Overbye/Mulukutla S. Sarma,6th,Cengage Learning
EEET2381,Advanced Power Systems,Prescribed,9780357676196 9780357676387(e),Power System Analysis and Design,J. Duncan Glover/Thomas Overbye/Mulukutla S. Sarma,7th SI,Cengage Learning
EEET2381,Advanced Power Systems,Prescribed,9781305636187 9781305887732(e),Power System Analysis and Design,J. Duncan Glover/Thomas Overbye/Mulukutla S. Sarma,6th,Cengage Learning
ENVI1051,Environmental Economics,Highly recommended,9780367183028,Environment and Economy,Molly Scott Cato,2nd,Taylor and Francis
ENVI1137,"""Communicating Sustainability """,Prescribed,9780192592637,The politics of the earth : environmental discourses,Dryzek,4th,Oxford University Press
GEOM2069,Cartography & Visualisation,Highly recommended,9781589484405 9781589484375(e),Designing Better Maps: A Guide for GIS Users,"Brewer, Cynthia",2nd,Esri Press
GEOM2080,Cartography 2,Highly recommended,9781589484405 9781589484375(e),Designing Better Maps: A Guide for GIS Users,"Brewer, Cynthia",2nd,Esri Press
HUSO2079,Research Strategies,Prescribed,9780335248292 9780335248308(e),Research Proposals: A Practical Guide,Martyn Denscombe,2nd,McGraw-Hill Education
HUSO2079,Research Strategies,Prescribed,9780335249831 9780335249848(e),The good research guide : for small-scale social research projects,"Denscombe, Martyn",7th,McGraw-Hill Education
HUSO2079,Research Strategies,Prescribed,9781462503537 9781462503612(e),When to Use What Research Design,"""W. Paul Vogt, Dianne C. Gardner, and Lynne M. Haeffele""",1st,Guilford Press
HUSO2362,Qualitative Research Techniques,Recommended,9781544372884 9781544372907(e),"""Qualitative Research Analyzing Life""",Saldana/Omasta,2nd,Sage Publications
HWSS1146,"Loss, Trauma and Grief",Highly recommended,9783031131400 9783031131387(e),Cultural Safety in Trauma-Informed Practice from a First Nations Perspective: Billabongs of Knowledge,"Tujague, N., & Ryan, K.",2023,Springer
HWSS2090,History & Trends Social Work,Prescribed,9780170470940 9780170295178(e),The road to social work & human service practice,Lesley Chenoweth & Donna McAuliffe,7th,Cengage Learning
HWSS2090,History & Trends Social Work,Prescribed,9781352004090 9781352004106(e),Our voices: Aboriginal social work,"Bennett, B & Green, S (eds)",2nd,Red Globe Press
HWSS2204,Social Work Honours Project 1,Highly recommended,9781071836743 9781071836767(e),SAGE Handbook of Qualitative Research (ISE),Norman Denzin and Yvonna Lincoln,6th,Sage Publications
HWSS2204,Social Work Honours Project 4,Prescribed,9781529713466,The Essential Guide to Doing your Research Project,Zina O'Leary,4th,Sage Publications
HWSS2204,Social Work Honours Project 1,Recommended,9781473906624 9781473987838(e),"""Doing Research in Social Work and Social Care: The Journey from Student to Practitioner Researcher""",Catherine Flynn & Fiona McDermott,1st,Sage Publications
HWSS2204,Social Work Honours Project 2,Recommended,9781473913554 9781473944343(e),Qualitative Social Research: Contemporary Methods for the Digital Age,"""Vivienne Waller, Karen Farquharson & Deborah Dempsey""",1st,Sage Publications
HWSS2222,Social Work Honours Thesis 1,Prescribed,9781529713466,The Essential Guide to Doing your Research Project,Zina O'Leary,4th,Sage Publications
HWSS2222,Social Work Honours Thesis 1,Recommended,9781473913554 9781473944343(e),Qualitative Social Research: Contemporary Methods for the Digital Age,"""Vivienne Waller, Karen Farquharson & Deborah Dempsey""",1st,Sage Publications
HWSS2222,Social Work Honours Thesis 2,Recommended,9781071836743 9781071836767(e),SAGE Handbook of Qualitative Research (ISE),Norman Denzin and Yvonna Lincoln,6th,Sage Publications
HWSS2233,Youth Work 5: Field Education 3,Highly recommended,9780473451448,The Supervision Scrapbook: A Resource for Youth Workers and Anyone Working with Young People,Baxter R and Eriksen T,3rd,Ara Taiohi
INTE2047,Digital Business Systems,Recommended,9781292449722,"E-Commerce 2023-2024: Business, Technology and Society",Laudon and Traver,17th Global,Pearson Education
ISYS2038,Database Development,Highly recommended,9781292263359 9781292263410(e),Modern Database Management,Hoffer Et al,13th Global,Pearson Education
ISYS2423,Information Systems Strategy and Governance,Highly recommended,9781292080260 9781292080277(e),IT Strategy: Issues and Practices,"James D. McKeen, Heather A. Smith",3rd Global,Pearson Education
ISYS2423,Information Systems Strategy and Governance,Recommended,9780470034675 9781119239567(e),The Strategic Management of Information Systems: Building a Digital Strategy,"Peppard, Joe; Peppard, Joe; Ward, John",4th,John Wiley & Sons
ISYS3413,Software Engineering Fundamentals for IT,Highly recommended,9780136886099 9780136885672(e),Software Architecture in Practice,"Len Bass, Paul Clements, Rick Kazman",4th,Pearson Education
ISYS3446,Introduction to Business Analytics,Highly recommended,9780357131787 9780357131909(e),Business Analytics,Camm et al.,4th,Cengage Learning
JUST1137,Real Estate Law,Prescribed,9780455248219 9780455248226(e),"""An Introduction to the Law of Contract """,Graw,11th,Thomson Reuters
JUST2237,Crime Prevention,Prescribed,9781108796965,"Crime Prevention : Principles, Perspectives and Practices","Sutton, A., Cherney, A., & White",3rd,Cambridge University Press
JUST2270,Evidence and Proof,Prescribed,9780455247519 9780455247526(e),Evidence in Practice,"Brianna Chesser, Graham Thomas, Geoffrey Horgan",2nd,Thomson Reuters
JUST2270,Evidence and Proof,Prescribed,9780455241111 9780455241128(e),Uniform Evidence Law: Commentary and Materials,"Stephen Odgers, Elisabeth Peden & Miiko Kumar",6th,Thomson Reuters
JUST2270,Evidence and Proof,Prescribed,9780455247656 9780455247663(e),Uniform Evidence Law: Commentary and Materials,"Stephen Odgers, Elisabeth Peden & Miiko Kumar",7th,Thomson Reuters
JUST2323,Intro to Criminal Psychology,Prescribed,9781352004861 9781352004878(e),Forensic Psychology,"Scott, Adrian J.",2nd,Macmillan Education
JUST5756C,ManageLegal&EthicalCompliance,Highly recommended,9781032050867 9781000655278(e),Law and Ethics in Complementary Medicine A Handbook for Practitioners in Australia and New Zealand,Weir,6th,Routledge
LANG1067,Chinese 1,Prescribed,9787561942772,New Practical Chinese Reader 1: Textbook,LIU Xun,3rd,Beijing Language and Culture University Press
LANG1067,Chinese 1,Prescribed,9787561948514,New Practical Chinese Reader 1: Workbook,LIU Xun,3rd,Beijing Language and Culture University Press
LANG1068,Chinese 1,Prescribed,9787561942772,New Practical Chinese Reader 1 : Textbook,LIU Xun,3rd,Beijing Language and Culture University Press
LANG1068,Chinese 1,Prescribed,9787561948514,New Practical Chinese Reader 1 : Workbook,LIU Xun,3rd,Beijing Language and Culture University Press
LANG1070,Chinese 3,Prescribed,9787561958070,New Practical Chinese Reader 2 : Textbook,LIU Xun,3rd,Beijing Language and Culture University Press
LANG1186,French 3,Recommended,9781260452419 9781260452426(e),The Ultimate French Review and Practice,Stillman/Gordon,4th,McGraw-Hill Education
LANG1428,French 3,Recommended,9781260452419 9781260452426(e),The Ultimate French Review and Practice,Stillman/Gordon,4th,McGraw-Hill Education
LANG1249,French 5,Recommended,9781260452419 9781260452426(e),The Ultimate French Review and Practice,Stillman/Gordon,4th,McGraw-Hill Education
LANG1174,Italian 1,Prescribed,9788899358846,"The new Italian project : an Italian language and culture course for English speakers . 1a. : Beginners A1, Student's book and workbook","Marin, Magnelli",2020,Edilingua
LANG1175,Italian 2,Prescribed,9788899358846,"The new Italian project : an Italian language and culture course for English speakers . 1a. : Beginners A1, Student's book and workbook","Marin, Magnelli",2020,Edilingua
LANG1093,Japanese 1,Highly recommended,9784789013499 9784789050357(e),Kanji Look And Learn,Banno,1st,The Japan Times
LANG1093,Japanese 1,Highly recommended,9784789013505 9784789051118(e),Kanji Look And Learn Workbook,Banno,1st,The Japan Times
LANG1093,Japanese 1,Prescribed,9784789017305 9784789050975(e),Genki 1 Text: An Integrated Course In Elementary Japanese Book 1 Plus Audio CD,Banno,3rd,The Japan Times
LANG1093,Japanese 1,Prescribed,9784789017312 9784789050982(e),Genki 1 Workbook: An Integrated Course In Elementary Japanese Book 1 Plus Audio CD Workbook,Banno,3rd,The Japan Times
LANG1169,Japanese 1,Highly recommended,9784789013499 9784789050357(e),Kanji Look And Learn,Banno,1st,The Japan Times
LANG1169,Japanese 1,Highly recommended,9784789013505 9784789051118(e),Kanji Look And Learn Workbook,Banno,1st,The Japan Times
LANG1169,Japanese 1,Prescribed,9784789017305 9784789050975(e),Genki 1 Text: An Integrated Course In Elementary Japanese Book 1 Plus Audio CD,Banno,3rd,The Japan Times
LANG1169,Japanese 1,Prescribed,9784789017312 9784789050982(e),Genki 1 Workbook: An Integrated Course In Elementary Japanese Book 1 Plus Audio CD Workbook,Banno,3rd,The Japan Times
LANG1146,Japanese 3,Prescribed,9784789017305 9784789050975(e),Genki 1 Text: An Integrated Course In Elementary Japanese Book 1 Plus Audio CD,Banno,3rd,The Japan Times
LANG1146,Japanese 3,Prescribed,9784789017312 9784789050982(e),Genki 1 Workbook: An Integrated Course In Elementary Japanese Book 1 Plus Audio CD Workbook,Banno,3rd,The Japan Times
LANG1253,Japanese 3,Prescribed,9784789017305 9784789050975(e),Genki 1 Text: An Integrated Course In Elementary Japanese Book 1 Plus Audio CD,Banno,3rd,The Japan Times
LANG1253,Japanese 3,Prescribed,9784789017312 9784789050982(e),Genki 1 Workbook: An Integrated Course In Elementary Japanese Book 1 Plus Audio CD Workbook,Banno,3rd,The Japan Times
LANG1097,Japanese 5,Prescribed,9784789017329 9784789051507(e),Genki 2 Text + MP3 CD,Banno,3rd,The Japan Times
LANG1097,Japanese 5,Prescribed,9784789017336 9784789051514(e),Genki 2 Workbook + MP3 CD,Banno,3rd,The Japan Times
LANG1257,Japanese 5,Prescribed,9784789017329 9784789051507(e),Genki 2 Text + MP3 CD,Banno,3rd,The Japan Times
LANG1257,Japanese 5,Prescribed,9784789017336 9784789051514(e),Genki 2 Workbook + MP3 CD,Banno,3rd,The Japan Times
LANG1276,Japanese Language and Society,Prescribed,9784874244470,Tobira: Gateway to Advanced Japanese Learning Through Content and Multimedia,Oka Et Al,1st,Kurosio
LANG1296,Japanese Language and Society,Prescribed,9784874244470,Tobira: Gateway to Advanced Japanese Learning Through Content and Multimedia,Oka Et Al,1st,Kurosio
LANG1277,Japanese Language in Context,Prescribed,9784874244470,Tobira: Gateway to Advanced Japanese Learning Through Content and Multimedia,Oka Et Al,1st,Kurosio
LANG1297,Japanese Language in Context,Prescribed,9784874244470,Tobira: Gateway to Advanced Japanese Learning Through Content and Multimedia,Oka Et Al,1st,Kurosio
LAW1019,Intro Aust Leg Sys & Leg Meth,Highly recommended,9780409351934 9780409351941(e),Laying Down the Law,"David Hamer, Belinda Smith, Patrick O’Mara, Tristan Taylor & Robin Creyke",11th,LexisNexis Australia
LAW1019,Intro Aust Leg Sys & Leg Meth,Highly recommended,9780409357585 9780409357592(e),Laying Down the Law,"David Hamer, Belinda Smith, Patrick O’Mara, Tristan Taylor & Robin Creyke",12th,LexisNexis Australia
LAW1019,Intro Aust Leg Sys & Leg Meth,Highly recommended,9780730363446 9780730358855(e),The New Lawyer,"Nickolas James, Rachael Field & Jackson Walkden-Brown",2nd,John Wiley & Sons
LAW1019,Intro Aust Leg Sys & Leg Meth,Highly recommended,9781394184385,The New Lawyer,"Nickolas James, Rachael Field & Jackson Walkden-Brown",3rd,John Wiley & Sons
LAW1019,Intro Aust Leg Sys & Leg Meth,Recommended,9780646976389,Australian Guide to Legal Citation,Melbourne University Law Review,4th,Melbourne University Law Review
LAW1019,Intro Aust Leg Sys & Leg Meth,Recommended,9780409352917 9780409354164(e),LexisNexis Concise Australian Legal Dictionary,General Editors: Ray Finkelstein and David Hamer,6th,LexisNexis Australia
LAW1020,Law of Torts,Highly recommended,9781009348775 9781009348782(e),Contemporary Australian Tort Law,Kyriakakis,2nd,Cambridge University Press
LAW1020,Law of Torts,Highly recommended,9780409357493,Focus: Torts,Martin Davies and Ian Malkin,10th,LexisNexis
