Program name,Credit Points,Program Code,Course name,Plan code,Duration,Campus,CRICOS Code
Introduction to Curating Contemporary Art,12,OART1067,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Digital Imaging Strategies,12,VART3638,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Critical Frameworks B,12,VART3616,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Critical Frameworks C,12,VART3617,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Masters Symposium,12,VART3614,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Applied Industry Engagement,12,VART3707,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Fieldwork,12,VART3709,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Themes in Contemporary Creative Practice A,12,VART3711,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Themes in Contemporary Creative Practice B,12,VART3713,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Practicing on Country / with Country,12,VART3715,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Cultural Planning and Evaluation,12,VART3717,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Industry Partnered Studio,12,VART3739,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Studio Skills Specialisation,12,VART3741,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Working in First Peoples contexts: creative partnerships and cultural production,12,OART1103,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Working in Transnational Contexts: Exchange and Collaboration,12,OART1104,Master of Photography,MC270,"2 years full-time, 4 years part-time, reduced duration available",City Campus,096091J
Doing Research for Design and Social Context,12,HUSO2438,Master of Fine Art,MR208,"2 years full-time, 4 years part-time",City Campus,079690E
Research for Impact in Design and Social Context,12,HUSO2439,Master of Fine Art,MR208,"2 years full-time, 4 years part-time",City Campus,079690E
Creative Practice Research,12,ARCH1429,Master of Fine Art,MR208,"2 years full-time, 4 years part-time",City Campus,079690E
Qualitative Research Methods,12,HUSO2362,Master of Fine Art,MR208,"2 years full-time, 4 years part-time",City Campus,079690E
Quantitative Research Techniques,12,MATH2256,Master of Fine Art,MR208,"2 years full-time, 4 years part-time",City Campus,079690E
Critical and Social Theory,12,SOCU2308,Master of Fine Art,MR208,"2 years full-time, 4 years part-time",City Campus,079690E
Masters Research (48cp),48,VART3581,Master of Fine Art,MR208,"2 years full-time, 4 years part-time",City Campus,079690E
Masters Research (36cp),36,VART3582,Master of Fine Art,MR208,"2 years full-time, 4 years part-time",City Campus,079690E
Masters Research (24cp),24,VART3583,Master of Fine Art,MR208,"2 years full-time, 4 years part-time",City Campus,079690E
Masters Research (12cp),12,VART3584,Master of Fine Art,MR208,"2 years full-time, 4 years part-time",City Campus,079690E
Doing Research for Design and Social Context,12,HUSO2438,PhD (Art),DR208,"3-4 years full-time, 6-8 years part-time",City Campus,079810B
Research for Impact in Design and Social Context,12,HUSO2439,PhD (Art),DR208,"3-4 years full-time, 6-8 years part-time",City Campus,079810B
Creative Practice Research,12,ARCH1429,PhD (Art),DR208,"3-4 years full-time, 6-8 years part-time",City Campus,079810B
Qualitative Research Methods,12,HUSO2362,PhD (Art),DR208,"3-4 years full-time, 6-8 years part-time",City Campus,079810B
Quantitative Research Techniques,12,MATH2256,PhD (Art),DR208,"3-4 years full-time, 6-8 years part-time",City Campus,079810B
Critical and Social Theory,12,SOCU2308,PhD (Art),DR208,"3-4 years full-time, 6-8 years part-time",City Campus,079810B
PhD Research (48cp),48,VART3585,PhD (Art),DR208,"3-4 years full-time, 6-8 years part-time",City Campus,079810B
PhD Research (36cp),36,VART3586,PhD (Art),DR208,"3-4 years full-time, 6-8 years part-time",City Campus,079810B
PhD Research (24cp),24,VART3587,PhD (Art),DR208,"3-4 years full-time, 6-8 years part-time",City Campus,079810B
PhD Research (12cp),12,VART3588,PhD (Art),DR208,"3-4 years full-time, 6-8 years part-time",City Campus,079810B
